;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;;Unkn;;20,4858338943939;NaN
;A02;SYBR;;Unkn;;18,2931811039226;NaN
;A03;SYBR;;Unkn;;17,1690362460055;NaN
;A04;SYBR;;Unkn;;17,9060210008855;NaN
;A05;SYBR;;Unkn;;18,185836729283;NaN
;A06;SYBR;;Unkn;;19,2974681152796;NaN
;A07;SYBR;;Unkn;;16,45840757612;NaN
;A08;SYBR;;Unkn;;17,5208120930063;NaN
;A09;SYBR;;Unkn;;17,9087114904145;NaN
;A10;SYBR;;Unkn;;17,2893234082919;NaN
;A11;SYBR;;Unkn;;17,2674871283846;NaN
;A12;SYBR;;Unkn;;17,2893020869214;NaN
;B01;SYBR;;Unkn;;19,4489887798812;NaN
;B02;SYBR;;Unkn;;18,3028123945591;NaN
;B03;SYBR;;Unkn;;17,0584696862355;NaN
;B04;SYBR;;Unkn;;17,3898584251101;NaN
;B05;SYBR;;Unkn;;18,0443269366877;NaN
;B06;SYBR;;Unkn;;19,221353132213;NaN
;B07;SYBR;;Unkn;;16,0348054107534;NaN
;B08;SYBR;;Unkn;;17,2136710852517;NaN
;B09;SYBR;;Unkn;;17,5300607488725;NaN
;B10;SYBR;;Unkn;;17,0397399322648;NaN
;B11;SYBR;;Unkn;;17,2509533534208;NaN
;B12;SYBR;;Unkn;;16,4940728268966;NaN
;C01;SYBR;;Unkn;;22,0110452441603;NaN
;C02;SYBR;;Unkn;;22,0713049721833;NaN
;C03;SYBR;;Unkn;;21,0375530417494;NaN
;C04;SYBR;;Unkn;;21,5139804408325;NaN
;C05;SYBR;;Unkn;;21,7946830480882;NaN
;C06;SYBR;;Unkn;;22,2051208918956;NaN
;C07;SYBR;;Unkn;;20,1993179159668;NaN
;C08;SYBR;;Unkn;;20,8365456039831;NaN
;C09;SYBR;;Unkn;;21,8684798495712;NaN
;C10;SYBR;;Unkn;;19,947880090743;NaN
;C11;SYBR;;Unkn;;20,6292825316793;NaN
;C12;SYBR;;Unkn;;20,1793454956469;NaN
;D01;SYBR;;Unkn;;21,7903542355267;NaN
;D02;SYBR;;Unkn;;22,0875059437529;NaN
;D03;SYBR;;Unkn;;25,5360668994116;NaN
;D04;SYBR;;Unkn;;21,4800493473425;NaN
;D05;SYBR;;Unkn;;22,1090050854519;NaN
;D06;SYBR;;Unkn;;22,0413955379899;NaN
;D07;SYBR;;Unkn;;20,1684510328395;NaN
;D08;SYBR;;Unkn;;20,3367342492041;NaN
;D09;SYBR;;Unkn;;21,5383979898682;NaN
;D10;SYBR;;Unkn;;19,9966952536963;NaN
;D11;SYBR;;Unkn;;20,8086611977552;NaN
;D12;SYBR;;Unkn;;20,4821096452967;NaN
;E01;SYBR;;Unkn;;16,4049031301856;NaN
;E02;SYBR;;Unkn;;18,7837609827163;NaN
;E03;SYBR;;Unkn;;17,6214006245538;NaN
;E04;SYBR;;Unkn;;17,5468949230136;NaN
;E05;SYBR;;Unkn;;17,662545242381;NaN
;E06;SYBR;;Unkn;;18,1259909574726;NaN
;E07;SYBR;;Unkn;;17,9199045864817;NaN
;E08;SYBR;;Unkn;;17,6336397131952;NaN
;E09;SYBR;;Unkn;;16,9841174777223;NaN
;E10;SYBR;;Unkn;;18,6930871222053;NaN
;E11;SYBR;;Unkn;;16,5561744778094;NaN
;E12;SYBR;;Unkn;;17,1351602963024;NaN
;F01;SYBR;;Unkn;;16,5541642930209;NaN
;F02;SYBR;;Unkn;;18,8769524603996;NaN
;F03;SYBR;;Unkn;;18,1965867369542;NaN
;F04;SYBR;;Unkn;;17,5106084177463;NaN
;F05;SYBR;;Unkn;;17,2436773636557;NaN
;F06;SYBR;;Unkn;;17,5809475251358;NaN
;F07;SYBR;;Unkn;;17,1084767351899;NaN
;F08;SYBR;;Unkn;;17,2239457563361;NaN
;F09;SYBR;;Unkn;;16,3813111554065;NaN
;F10;SYBR;;Unkn;;17,8337554968666;NaN
;F11;SYBR;;Unkn;;16,7955805188594;NaN
;F12;SYBR;;Unkn;;16,9584035271153;NaN
;G01;SYBR;;Unkn;;19,9962862291703;NaN
;G02;SYBR;;Unkn;;22,2497441412687;NaN
;G03;SYBR;;Unkn;;21,7143006221985;NaN
;G04;SYBR;;Unkn;;21,6911275581451;NaN
;G05;SYBR;;Unkn;;22,100781567391;NaN
;G06;SYBR;;Unkn;;22,2734626686989;NaN
;G07;SYBR;;Unkn;;22,3955286213876;NaN
;G08;SYBR;;Unkn;;21,3020310803352;NaN
;G09;SYBR;;Unkn;;21,0010744211484;NaN
;G10;SYBR;;Unkn;;20,7098263886437;NaN
;G11;SYBR;;Unkn;;20,3543755336698;NaN
;G12;SYBR;;Unkn;;21,0580554502736;NaN
;H01;SYBR;;Unkn;;20,4023723030795;NaN
;H02;SYBR;;Unkn;;22,2506618850521;NaN
;H03;SYBR;;Unkn;;21,6194741308669;NaN
;H04;SYBR;;Unkn;;22,0958641275353;NaN
;H05;SYBR;;Unkn;;22,1682394734862;NaN
;H06;SYBR;;Unkn;;22,5955396135383;NaN
;H07;SYBR;;Unkn;;22,568418281021;NaN
;H08;SYBR;;Unkn;;21,1140633684559;NaN
;H09;SYBR;;Unkn;;20,9547802955078;NaN
;H10;SYBR;;Unkn;;21,0907366694371;NaN
;H11;SYBR;;Unkn;;20,8830222968675;NaN
;H12;SYBR;;Unkn;;21,4890880482579;NaN
