;Well;Fluor;Target;Content;Sample;Melt Temp
;A01;SYBR;;Unkn;;88,5
;A02;SYBR;;Unkn;;86
;A03;SYBR;;Unkn;;86,5
;A04;SYBR;;Unkn;;79,5
;A04;SYBR;;Unkn;;86
;A05;SYBR;;Unkn;;79,5
;A05;SYBR;;Unkn;;85,5
;A06;SYBR;;Unkn;;89
;A07;SYBR;;Unkn;;89
;A08;SYBR;;Unkn;;89
;A09;SYBR;;Unkn;;89
;A10;SYBR;;Unkn;;86
;A11;SYBR;;Unkn;;80
;A11;SYBR;;Unkn;;85,5
;A12;SYBR;;Unkn;;None
;B01;SYBR;;Unkn;;89
;B02;SYBR;;Unkn;;80
;B02;SYBR;;Unkn;;86
;B03;SYBR;;Unkn;;86
;B04;SYBR;;Unkn;;79,5
;B04;SYBR;;Unkn;;86
;B05;SYBR;;Unkn;;79,5
;B05;SYBR;;Unkn;;86
;B06;SYBR;;Unkn;;88,5
;B07;SYBR;;Unkn;;88,5
;B08;SYBR;;Unkn;;89
;B09;SYBR;;Unkn;;88,5
;B10;SYBR;;Unkn;;86
;B11;SYBR;;Unkn;;86
;B12;SYBR;;Unkn;;86
;C01;SYBR;;Unkn;;80,5
;C02;SYBR;;Unkn;;80,5
;C03;SYBR;;Unkn;;80,5
;C04;SYBR;;Unkn;;80,5
;C05;SYBR;;Unkn;;80,5
;C06;SYBR;;Unkn;;80,5
;C07;SYBR;;Unkn;;80,5
;C08;SYBR;;Unkn;;80,5
;C09;SYBR;;Unkn;;80,5
;C10;SYBR;;Unkn;;80,5
;C11;SYBR;;Unkn;;80,5
;C12;SYBR;;Unkn;;81
;D01;SYBR;;Unkn;;81
;D02;SYBR;;Unkn;;80,5
;D03;SYBR;;Unkn;;80,5
;D04;SYBR;;Unkn;;80,5
;D05;SYBR;;Unkn;;80,5
;D06;SYBR;;Unkn;;80,5
;D07;SYBR;;Unkn;;80,5
;D08;SYBR;;Unkn;;80,5
;D09;SYBR;;Unkn;;80,5
;D10;SYBR;;Unkn;;80,5
;D11;SYBR;;Unkn;;81
;D12;SYBR;;Unkn;;81
;E01;SYBR;;Unkn;;85,5
;E02;SYBR;;Unkn;;88,5
;E03;SYBR;;Unkn;;88,5
;E04;SYBR;;Unkn;;84,5
;E04;SYBR;;Unkn;;88,5
;E05;SYBR;;Unkn;;84,5
;E05;SYBR;;Unkn;;88,5
;E06;SYBR;;Unkn;;79,5
;E06;SYBR;;Unkn;;86
;E07;SYBR;;Unkn;;79,5
;E07;SYBR;;Unkn;;86
;E08;SYBR;;Unkn;;79,5
;E08;SYBR;;Unkn;;86
;E09;SYBR;;Unkn;;85,5
;E10;SYBR;;Unkn;;88,5
;E11;SYBR;;Unkn;;84,5
;E11;SYBR;;Unkn;;88,5
;E12;SYBR;;Unkn;;89
;F01;SYBR;;Unkn;;86
;F02;SYBR;;Unkn;;88,5
;F03;SYBR;;Unkn;;88,5
;F04;SYBR;;Unkn;;88,5
;F05;SYBR;;Unkn;;88,5
;F06;SYBR;;Unkn;;79,5
;F06;SYBR;;Unkn;;86
;F07;SYBR;;Unkn;;79,5
;F07;SYBR;;Unkn;;86
;F08;SYBR;;Unkn;;79,5
;F08;SYBR;;Unkn;;86
;F09;SYBR;;Unkn;;79,5
;F09;SYBR;;Unkn;;85,5
;F10;SYBR;;Unkn;;88,5
;F11;SYBR;;Unkn;;88,5
;F12;SYBR;;Unkn;;89
;G01;SYBR;;Unkn;;81
;G02;SYBR;;Unkn;;80,5
;G03;SYBR;;Unkn;;80,5
;G04;SYBR;;Unkn;;80,5
;G05;SYBR;;Unkn;;80,5
;G06;SYBR;;Unkn;;80,5
;G07;SYBR;;Unkn;;80,5
;G08;SYBR;;Unkn;;80,5
;G09;SYBR;;Unkn;;80,5
;G10;SYBR;;Unkn;;80,5
;G11;SYBR;;Unkn;;80,5
;G12;SYBR;;Unkn;;80,5
;H01;SYBR;;Unkn;;81
;H02;SYBR;;Unkn;;80,5
;H03;SYBR;;Unkn;;80,5
;H04;SYBR;;Unkn;;80,5
;H05;SYBR;;Unkn;;80,5
;H06;SYBR;;Unkn;;80,5
;H07;SYBR;;Unkn;;81
;H08;SYBR;;Unkn;;81
;H09;SYBR;;Unkn;;80,5
;H10;SYBR;;Unkn;;80,5
;H11;SYBR;;Unkn;;80,5
;H12;SYBR;;Unkn;;80,5
